DepartmentID,Location
6510202,Downtown Clinic
6511368,Riverside Health Complex
6512509,Riverside Health Complex
6517776,Southside Family Clinic
6530378,Westside Medical Center
6532196,Southside Family Clinic
6534377,Riverside Health Complex
6536503,Main Campus
6536913,Northside Specialty Clinic
6539905,Southside Family Clinic
6544443,Riverside Health Complex
6544624,Northside Specialty Clinic
6546752,Westside Medical Center
6547568,Downtown Clinic
6548816,Riverside Health Complex
6554071,Riverside Health Complex
6556622,Downtown Clinic
6559513,Main Campus
6559558,Main Campus
6560620,Main Campus
6563512,Riverside Health Complex
6564082,Westside Medical Center
6566529,Northside Specialty Clinic
6567579,Westside Medical Center
6574528,Northside Specialty Clinic
6574645,Riverside Health Complex
6581066,Downtown Clinic
6583396,Northside Specialty Clinic
6583810,Riverside Health Complex
6587656,Riverside Health Complex
6590168,Downtown Clinic
6590433,Westside Medical Center
6593712,Northside Specialty Clinic
6594818,Westside Medical Center
6595563,Riverside Health Complex
6600819,Downtown Clinic
6601391,Northside Specialty Clinic
6602003,Northside Specialty Clinic
6606821,Northside Specialty Clinic
6607076,Downtown Clinic
6607732,Southside Family Clinic
6609810,Downtown Clinic
6614100,Westside Medical Center
6614729,Southside Family Clinic
6616681,Riverside Health Complex
6619308,Northside Specialty Clinic
6619319,Southside Family Clinic
6619895,Southside Family Clinic
6621405,Downtown Clinic
6621834,Southside Family Clinic
6627689,Westside Medical Center
6631103,Main Campus
6631507,Northside Specialty Clinic
6631884,Riverside Health Complex
6632839,Downtown Clinic
6633551,Southside Family Clinic
6637517,Southside Family Clinic
6638500,Westside Medical Center
6638541,Southside Family Clinic
6639594,Southside Family Clinic
6644692,Main Campus
6646720,Southside Family Clinic
6652904,Westside Medical Center
6653266,Northside Specialty Clinic
6657336,Main Campus
6657958,Riverside Health Complex
6659887,Southside Family Clinic
6665828,Northside Specialty Clinic
6665966,Northside Specialty Clinic
6667925,Downtown Clinic
6670492,Southside Family Clinic
6671213,Southside Family Clinic
6671744,Northside Specialty Clinic
6673788,Westside Medical Center
6675743,Northside Specialty Clinic
6675918,Northside Specialty Clinic
6677846,Southside Family Clinic
6678992,Westside Medical Center
6679174,Main Campus
6680219,Riverside Health Complex
6680443,Riverside Health Complex
6685783,Main Campus
6695365,Downtown Clinic
6702169,Westside Medical Center
6703484,Downtown Clinic
6704613,Northside Specialty Clinic
6707006,Westside Medical Center
6707411,Westside Medical Center
6711757,Westside Medical Center
6712209,Main Campus
6713074,Main Campus
6714708,Northside Specialty Clinic
6722949,Riverside Health Complex
6725613,Downtown Clinic
6727840,Riverside Health Complex
6729395,Riverside Health Complex
6729477,Northside Specialty Clinic
6729784,Northside Specialty Clinic
6729849,Southside Family Clinic
6732220,Westside Medical Center
6735742,Westside Medical Center
6736052,Riverside Health Complex
6741504,Main Campus
6743065,Westside Medical Center
6743612,Westside Medical Center
6749490,Downtown Clinic
6751640,Southside Family Clinic
6751653,Riverside Health Complex
6756013,Downtown Clinic
6756447,Westside Medical Center
6758157,Downtown Clinic
6759024,Northside Specialty Clinic
6759887,Northside Specialty Clinic
6760104,Riverside Health Complex
6761283,Westside Medical Center
6763193,Riverside Health Complex
6769041,Southside Family Clinic
6770691,Northside Specialty Clinic
6770772,Main Campus
6772759,Westside Medical Center
6772959,Riverside Health Complex
6773730,Southside Family Clinic
6774128,Downtown Clinic
6774637,Riverside Health Complex
6775906,Westside Medical Center
6778238,Northside Specialty Clinic
6778904,Southside Family Clinic
6779677,Riverside Health Complex
6780318,Riverside Health Complex
6781361,Riverside Health Complex
6784357,Westside Medical Center
6786919,Riverside Health Complex
6793328,Westside Medical Center
6799697,Westside Medical Center
6800422,Riverside Health Complex
6802007,Downtown Clinic
6802148,Northside Specialty Clinic
6802254,Northside Specialty Clinic
6806816,Riverside Health Complex
6808266,Main Campus
6808789,Main Campus
6809112,Main Campus
6811307,Southside Family Clinic
6813612,Downtown Clinic
6817213,Southside Family Clinic
6818675,Downtown Clinic
6819025,Northside Specialty Clinic
6820595,Northside Specialty Clinic
6821890,Westside Medical Center
6822625,Riverside Health Complex
6825553,Main Campus
6826237,Downtown Clinic
6827170,Southside Family Clinic
6827273,Downtown Clinic
6827565,Main Campus
6830349,Southside Family Clinic
6833112,Southside Family Clinic
6848770,Westside Medical Center
6850142,Main Campus
6859401,Main Campus
6865513,Main Campus
6866591,Southside Family Clinic
6870682,Northside Specialty Clinic
6876497,Northside Specialty Clinic
6880910,Northside Specialty Clinic
6881413,Westside Medical Center
6885138,Southside Family Clinic
6886747,Northside Specialty Clinic
6888450,Southside Family Clinic
6889964,Riverside Health Complex
6892379,Riverside Health Complex
6896048,Downtown Clinic
6896141,Downtown Clinic
6897684,Northside Specialty Clinic
6898823,Northside Specialty Clinic
6902663,Riverside Health Complex
6906324,Southside Family Clinic
6910107,Main Campus
6910513,Southside Family Clinic
6910823,Downtown Clinic
6912353,Westside Medical Center
6914280,Main Campus
6915314,Main Campus
6915790,Main Campus
6917303,Main Campus
6918293,Riverside Health Complex
6919665,Southside Family Clinic
6920819,Main Campus
6923304,Downtown Clinic
6924679,Riverside Health Complex
6926236,Downtown Clinic
6926659,Southside Family Clinic
6928469,Northside Specialty Clinic
6929389,Westside Medical Center
6929869,Main Campus
6930938,Downtown Clinic
6933357,Riverside Health Complex
6934350,Main Campus
6936140,Main Campus
6936292,Downtown Clinic
6936751,Downtown Clinic
6936826,Northside Specialty Clinic
6938207,Westside Medical Center
6941340,Main Campus
6941981,Northside Specialty Clinic
6942464,Southside Family Clinic
6942706,Southside Family Clinic
6942816,Downtown Clinic
6948117,Southside Family Clinic
6948840,Downtown Clinic
6952234,Northside Specialty Clinic
6955168,Northside Specialty Clinic
6961393,Westside Medical Center
6963059,Southside Family Clinic
6963932,Main Campus
6964820,Northside Specialty Clinic
6967124,Westside Medical Center
6970772,Northside Specialty Clinic
6971099,Riverside Health Complex
6971265,Downtown Clinic
6975643,Westside Medical Center
6975991,Riverside Health Complex
6976696,Downtown Clinic
6979175,Downtown Clinic
6980390,Northside Specialty Clinic
6985495,Northside Specialty Clinic
6985729,Southside Family Clinic
6986029,Main Campus
6993152,Westside Medical Center
6993230,Downtown Clinic
6993412,Southside Family Clinic
6995519,Riverside Health Complex
6995952,Northside Specialty Clinic
