EquipmentID,Name,Availability
5182070,MRI Machine,False
5186146,Defibrillator,False
5186832,Ultrasound Machine,False
5192244,MRI Machine,True
5197672,CT Scanner,True
5197913,Ventilator,False
5200547,Ultrasound Machine,True
5203160,X-Ray Machine,True
5203281,Defibrillator,True
5204592,MRI Machine,True
5205413,Defibrillator,False
5206686,Defibrillator,True
5206818,Ventilator,False
5207573,Ventilator,True
5207723,Ventilator,True
5210903,X-Ray Machine,False
5211415,X-Ray Machine,False
5216459,Ventilator,False
5217640,Defibrillator,True
5219083,CT Scanner,True
5219704,Defibrillator,False
5219923,X-Ray Machine,True
5220175,X-Ray Machine,False
5220948,Ventilator,True
5224223,CT Scanner,True
5228051,CT Scanner,True
5228873,Defibrillator,False
5228992,X-Ray Machine,True
5229394,Defibrillator,True
5229743,Defibrillator,False
5230995,MRI Machine,False
5236243,Defibrillator,True
5236902,X-Ray Machine,False
5238076,MRI Machine,False
5239017,Ventilator,True
5240770,Ventilator,True
5241351,MRI Machine,True
5245214,Ultrasound Machine,True
5247706,Defibrillator,False
5248351,Ultrasound Machine,True
5252436,Defibrillator,False
5252650,Defibrillator,True
5252868,X-Ray Machine,True
5254474,Ventilator,True
5258562,Defibrillator,True
5259664,CT Scanner,False
5259936,MRI Machine,False
5262583,CT Scanner,False
5262735,X-Ray Machine,True
5264147,MRI Machine,True
5265305,Ultrasound Machine,False
5265393,Defibrillator,True
5266166,MRI Machine,True
5266283,Ventilator,True
5266398,Ventilator,False
5267973,MRI Machine,False
5271023,X-Ray Machine,True
5274011,CT Scanner,False
5275743,Defibrillator,False
5275838,Ventilator,False
5283688,Defibrillator,False
5284095,Ventilator,True
5284620,CT Scanner,False
5288559,Defibrillator,False
5289190,Defibrillator,False
5294618,Defibrillator,False
5298453,Ultrasound Machine,False
5300237,Ventilator,True
5304120,Defibrillator,True
5304506,Ultrasound Machine,False
5304581,MRI Machine,True
5305225,Defibrillator,False
5308058,CT Scanner,False
5309206,Defibrillator,True
5309651,Ultrasound Machine,True
5314714,X-Ray Machine,False
5315512,X-Ray Machine,False
5317683,X-Ray Machine,True
5319058,Ventilator,False
5319890,Ventilator,True
5323836,CT Scanner,False
5323993,Defibrillator,False
5330952,Ventilator,True
5333525,Ventilator,False
5333731,Ventilator,True
5334136,Defibrillator,False
5338565,Defibrillator,False
5338697,MRI Machine,False
5341068,Defibrillator,True
5342284,Ventilator,True
5342953,CT Scanner,False
5346270,CT Scanner,False
5351564,Ventilator,True
5354561,Ventilator,False
5361009,Ventilator,False
5362438,Ventilator,True
5363242,Defibrillator,True
5364074,CT Scanner,True
5364755,CT Scanner,True
5365485,Ventilator,True
5366267,Ventilator,False
5369837,Ventilator,True
5371089,Ultrasound Machine,False
5374161,CT Scanner,False
5374471,X-Ray Machine,True
5374714,CT Scanner,True
5377831,Ultrasound Machine,True
5379435,Ultrasound Machine,False
5381374,MRI Machine,False
5381442,Ultrasound Machine,True
5381481,Ultrasound Machine,True
5381599,X-Ray Machine,True
5382931,CT Scanner,False
5383054,Defibrillator,True
5389424,Ventilator,False
5389728,CT Scanner,False
5393563,Ventilator,False
5395510,Ventilator,False
5396236,Ventilator,True
5397429,Ultrasound Machine,True
5397996,Ventilator,True
5398229,Ultrasound Machine,False
5399911,X-Ray Machine,False
5403501,MRI Machine,False
5403891,CT Scanner,True
5404130,Ultrasound Machine,False
5405743,Ultrasound Machine,False
5407491,Ventilator,True
5410321,Ultrasound Machine,True
5415772,CT Scanner,False
5421549,Ventilator,False
5423313,Ventilator,True
5427493,MRI Machine,False
5428012,Ultrasound Machine,False
5432834,Ventilator,False
5433091,Defibrillator,True
5433592,X-Ray Machine,False
5433806,X-Ray Machine,True
5437479,X-Ray Machine,False
5439079,CT Scanner,True
5442036,Ultrasound Machine,False
5443800,X-Ray Machine,True
5444888,MRI Machine,False
5446352,CT Scanner,True
5448820,MRI Machine,False
5451854,MRI Machine,True
5452082,CT Scanner,False
5454046,Ventilator,False
5457868,Defibrillator,False
5459799,Ventilator,False
5460745,X-Ray Machine,False
5461167,Defibrillator,True
5463352,MRI Machine,True
5463833,Ultrasound Machine,True
5464839,MRI Machine,False
5468376,MRI Machine,True
5471596,Ultrasound Machine,True
5473675,MRI Machine,False
5473851,X-Ray Machine,True
5479627,Defibrillator,False
5481611,CT Scanner,True
5483407,Ventilator,False
5484205,Defibrillator,False
5484839,X-Ray Machine,False
5492820,Defibrillator,True
5496921,X-Ray Machine,False
5499194,Ultrasound Machine,True
5499666,CT Scanner,True
5500438,Ultrasound Machine,True
5503478,X-Ray Machine,False
5507823,CT Scanner,False
5508988,X-Ray Machine,False
5511916,Defibrillator,True
5511966,CT Scanner,False
5512390,Defibrillator,True
5513495,CT Scanner,True
5514257,CT Scanner,True
5514681,Ventilator,True
5514912,CT Scanner,True
5515327,Ultrasound Machine,True
5529013,Ventilator,False
5530271,MRI Machine,True
5532388,Ultrasound Machine,False
5532550,MRI Machine,True
5532587,MRI Machine,True
5534146,CT Scanner,True
5534977,Ultrasound Machine,True
5540915,Ventilator,True
5541964,Ultrasound Machine,False
5542568,Ventilator,False
5543133,Ventilator,True
5547305,Defibrillator,False
5551219,X-Ray Machine,False
5551560,X-Ray Machine,True
5555635,X-Ray Machine,True
5556236,Ultrasound Machine,False
5561736,CT Scanner,False
5562550,Ultrasound Machine,True
5563051,Ventilator,False
5563658,CT Scanner,True
5564660,X-Ray Machine,True
5572477,Ultrasound Machine,False
5574006,MRI Machine,False
5574161,CT Scanner,True
5575601,Ultrasound Machine,True
5575837,Ultrasound Machine,False
5576905,X-Ray Machine,True
5579134,MRI Machine,False
5580697,X-Ray Machine,False
5581658,Defibrillator,True
5589629,Ultrasound Machine,False
5595314,Defibrillator,True
5596996,X-Ray Machine,True
5597305,Ventilator,False
5599173,Defibrillator,False
5599609,Ventilator,False
5601579,MRI Machine,True
5601975,MRI Machine,False
5603379,Ventilator,True
5603638,X-Ray Machine,True
5606254,Ultrasound Machine,True
5607264,X-Ray Machine,False
5612237,CT Scanner,True
5616865,CT Scanner,False
5618663,MRI Machine,True
5618682,Ventilator,True
5620986,CT Scanner,False
5620989,CT Scanner,True
5621386,Ultrasound Machine,True
5622253,MRI Machine,False
5625148,MRI Machine,False
5626715,MRI Machine,False
5627123,Defibrillator,True
5631042,CT Scanner,True
5633669,Ventilator,False
5637272,CT Scanner,False
5637331,CT Scanner,True
5637562,Ultrasound Machine,True
5638455,Ventilator,False
5641568,Defibrillator,False
5646265,Defibrillator,False
5648868,X-Ray Machine,True
5652306,Ultrasound Machine,True
5662526,X-Ray Machine,True
5664789,MRI Machine,True
5665750,Ventilator,False
5666371,X-Ray Machine,True
5669764,X-Ray Machine,False
5669933,X-Ray Machine,True
5671262,Defibrillator,False
5671282,MRI Machine,True
5673542,Ventilator,True
5674301,Ventilator,False
5675821,Ultrasound Machine,False
5681575,CT Scanner,False
5682650,MRI Machine,True
5683357,X-Ray Machine,True
5687129,Ventilator,True
5687314,Defibrillator,False
5687737,MRI Machine,True
5688718,CT Scanner,True
5689587,Defibrillator,False
5692124,X-Ray Machine,True
5692143,Defibrillator,False
5696704,Ultrasound Machine,True
5697488,Ventilator,False
5697825,Ultrasound Machine,True
5698409,Ultrasound Machine,True
5699888,Ultrasound Machine,False
5706375,Ventilator,True
5707033,X-Ray Machine,False
5710859,Defibrillator,False
5716103,Defibrillator,True
5717300,Ventilator,False
5718681,X-Ray Machine,True
5722326,Defibrillator,False
5724773,Ventilator,True
5727223,Defibrillator,False
5729457,CT Scanner,True
5732305,Defibrillator,False
5736138,CT Scanner,False
5737402,MRI Machine,True
5739520,Defibrillator,True
5739797,MRI Machine,True
5741766,Defibrillator,True
5742784,X-Ray Machine,True
5751243,MRI Machine,True
5751254,MRI Machine,True
5753799,X-Ray Machine,False
5755893,Ventilator,False
5758134,X-Ray Machine,False
5759819,X-Ray Machine,False
5769297,X-Ray Machine,False
5769517,Ultrasound Machine,False
5769658,MRI Machine,True
5769783,Ventilator,False
5772436,Ventilator,False
5773045,CT Scanner,False
5774503,CT Scanner,False
5780865,X-Ray Machine,True
5783473,Ultrasound Machine,True
5783601,X-Ray Machine,False
5785106,MRI Machine,True
5786731,CT Scanner,True
5788247,Ultrasound Machine,False
5789213,X-Ray Machine,False
5797284,X-Ray Machine,False
5798689,X-Ray Machine,True
5798921,Ultrasound Machine,False
5799310,Ventilator,False
5805759,CT Scanner,False
5810743,Ventilator,False
5811130,MRI Machine,False
5813065,Defibrillator,False
5813722,Defibrillator,False
5814678,CT Scanner,True
5815452,MRI Machine,True
5818442,MRI Machine,True
5819800,Ultrasound Machine,False
5822976,MRI Machine,True
5824046,Ventilator,True
5826003,Ultrasound Machine,False
5828242,CT Scanner,False
5830162,CT Scanner,False
5834627,Ventilator,True
5837430,X-Ray Machine,True
5839750,Ventilator,False
5842035,Defibrillator,True
5844005,Defibrillator,False
5845278,Ultrasound Machine,True
5845499,MRI Machine,False
5845558,CT Scanner,True
5846329,MRI Machine,True
5847946,Ultrasound Machine,True
5851449,MRI Machine,True
5853288,CT Scanner,False
5857868,Defibrillator,False
5858278,CT Scanner,False
5864335,Ultrasound Machine,True
5864507,Ventilator,True
5865166,Ultrasound Machine,False
5868478,Ventilator,True
5868745,Ventilator,False
5870392,Ultrasound Machine,False
5871085,MRI Machine,False
5871725,Ventilator,True
5875545,Defibrillator,False
5876274,Ultrasound Machine,False
5882578,Ultrasound Machine,False
5883627,Defibrillator,True
5888005,Ultrasound Machine,False
5889101,X-Ray Machine,False
5890589,CT Scanner,False
5897928,X-Ray Machine,False
5898168,MRI Machine,True
5900134,X-Ray Machine,True
5900848,CT Scanner,False
5900951,Ultrasound Machine,True
5901982,MRI Machine,False
5905264,Ventilator,True
5905758,MRI Machine,True
5911738,Ventilator,True
5914584,MRI Machine,True
5921345,X-Ray Machine,False
5922625,MRI Machine,False
5923497,Ultrasound Machine,True
5925642,Ultrasound Machine,True
5927318,Ventilator,True
5929557,CT Scanner,True
5930499,Ultrasound Machine,False
5930770,CT Scanner,True
5931400,MRI Machine,False
5932634,Ventilator,False
5935161,X-Ray Machine,True
5936912,MRI Machine,True
5937921,X-Ray Machine,False
5938541,Defibrillator,True
5939833,X-Ray Machine,True
5940710,Ultrasound Machine,False
5943054,Ultrasound Machine,True
5944722,X-Ray Machine,True
5945536,Ventilator,False
5945947,Ventilator,True
5950181,X-Ray Machine,False
5952088,CT Scanner,True
5952864,CT Scanner,True
5953610,MRI Machine,True
5954745,X-Ray Machine,False
5959705,MRI Machine,True
5960432,X-Ray Machine,False
5961338,CT Scanner,True
5961671,Defibrillator,True
5965828,CT Scanner,False
5968186,Ventilator,True
5968578,X-Ray Machine,False
5968594,Ventilator,True
5972511,Ultrasound Machine,False
5979646,Ventilator,False
5981953,Defibrillator,False
5982188,Ventilator,False
5984389,MRI Machine,False
5985458,Ventilator,True
5994924,Defibrillator,True
5995973,X-Ray Machine,False
5997274,CT Scanner,False
5999056,MRI Machine,True
